Recipe Name,Cusine,Dish Type,INGREDIENTS,Preparation Time,Cooking Time,Preparation Steps,Cooking Steps,Img URL,Total Time
Rumali Roti,Indian,Flatbread,"WHEAT FLOUR, SALT, WATER",20,10,1. Combine 1 cup wheat flour and 0.5 tsp salt in a bowl. Gradually add 0.5 cup water to form a soft dough. Knead for 5-7 minutes.,1. Divide the dough into small balls. Roll each ball out thinly. 2. Cook each side on a hot tawa for 2 minutes. 3. Serve hot.,https://cdn.tarladalal.com/members/9306/big/big_rumali_roti-16779.jpg,30
Kulcha (Plain),Indian,Flatbread,"WHEAT FLOUR, BAKING POWDER, SALT, WATER",15,7,"1. Combine 1 cup wheat flour, 0.5 tsp baking powder, and 0.5 tsp salt in a bowl. 2. Gradually add 0.5 cup water to form a dough. Knead for 5-7 minutes and rest for 10-15 minutes.","1. Divide the dough into small balls, roll them into circles, and cook on a tawa for 2 minutes on each side. 2. Serve hot with curry or raita.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYmK1GTDdcu4nY6kZM0zwTKapCPDRZ5T6P2Q&s,22
Amritsari Kulcha,Indian,Flatbread,"WHEAT FLOUR, YOGURT, BAKING POWDER, SALT, WATER, PANEER",20,12,"1. Combine 1 cup wheat flour, 0.5 tsp baking powder, and 0.5 tsp salt in a bowl. 2. Add 2 tbsp yogurt and 0.5 cup water to form a dough. Rest for 10-15 minutes.","1. Stuff with paneer, roll into a circle, and cook on a tawa for 2 minutes on each side. 2. Serve hot with curry or raita.",https://i.pinimg.com/736x/cd/92/1e/cd921e3acb47e90f46d7d3c50d50f7f0.jpg,32
Plain Steamed Rice,Indian,Rice Dish,"RICE, WATER, SALT",20,10,"1. Wash 1 cup rice under running water until it runs clear. 2. Soak the rice for 10-15 minutes. 3. In a pot, add 2 cups water, bring it to a boil, and add 0.5 tsp salt. 4. Add soaked rice and cook until the water is absorbed.",1. Fluff the rice with a fork and serve hot with curry or any dish of your choice.,https://static.toiimg.com/thumb/54504752.cms?width=1200&height=900,30
Jeera Rice,Indian,Rice Dish,"RICE, CUMIN, GHEE, SALT, WATER",20,12,"1. Wash 1 cup rice and soak for 10 minutes. 2. In a pan, heat 1 tbsp ghee and add 1 tsp cumin seeds. 3. When cumin seeds splutter, add 2 cups water and bring it to a boil. Add the soaked rice and 0.5 tsp salt.",1. Cook until the water is absorbed and rice is soft. Fluff and serve hot.,https://myfoodstory.com/wp-content/uploads/2018/07/Perfect-Jeera-Rice-Indian-Cumin-Rice-4-500x500.jpg,32
Veg Biryani,Indian,Rice Dish,"BASMATI RICE, ONION, TOMATO, GINGER, GARLIC, YOGURT, BIRYANI MASALA, SALT, GHEE, WATER",25,30,"1. Wash and soak 1 cup basmati rice for 30 minutes. 2. Heat 1 tbsp ghee in a pan, add 1 sliced onion, and saute until golden. 3. Add chopped tomatoes, ginger, garlic paste, and biryani masala. Cook for 5-7 minutes.","1. Add mixed vegetables, yogurt, salt, and water. Cook until vegetables are tender. Layer rice and vegetables, cook for another 10 minutes. Serve hot.",https://www.indianhealthyrecipes.com/wp-content/uploads/2019/04/veg-biryani-recipe-500x500.jpg,55
Chicken Biryani,Indian,Rice Dish,"BASMATI RICE, CHICKEN, ONION, TOMATO, GINGER, GARLIC, YOGURT, BIRYANI MASALA, SALT, GHEE, WATER",30,40,"1. Wash and soak 1 cup basmati rice for 30 minutes. 2. Heat ghee, saute sliced onions until golden, then add chopped tomatoes, ginger, garlic paste, and biryani masala. Cook for 5-7 minutes.","1. Add chicken pieces, yogurt, and water. Cook until chicken is tender. Layer rice on top and cook for 10 more minutes. Serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwaF6-1Auf1DuOXo9FhalxTrx1j-BnkoOu4A&s,70
Mutton Biryani,Indian,Rice Dish,"BASMATI RICE, MUTTON, ONION, TOMATO, GINGER, GARLIC, YOGURT, BIRYANI MASALA, SALT, GHEE, WATER",35,45,"1. Wash and soak 1 cup basmati rice for 30 minutes. 2. In a pan, heat ghee and saute sliced onions until golden. 3. Add chopped tomatoes, ginger, garlic paste, and biryani masala, cook for 7 minutes.","1. Add mutton pieces, yogurt, and water. Cook until mutton is tender. Layer rice on top and cook for 10 minutes. Serve hot.",https://www.cubesnjuliennes.com/wp-content/uploads/2021/03/Best-Mutton-Biryani-Recipe.jpg,80
Egg Biryani,Indian,Rice Dish,"BASMATI RICE, EGGS, ONION, TOMATO, GINGER, GARLIC, BIRYANI MASALA, SALT, GHEE, WATER",25,35,"1. Wash and soak 1 cup basmati rice for 30 minutes. 2. Heat ghee, saute onions until golden, then add tomatoes, ginger, garlic paste, and biryani masala. Cook for 5 minutes.","1. Add hard-boiled eggs and water, cook until rice is ready. Layer and serve hot.",https://www.indianhealthyrecipes.com/wp-content/uploads/2020/02/instant-pot-egg-biryani-500x500.jpg,60
Prawn Biryani,Indian,Rice Dish,"BASMATI RICE, PRAWNS, ONION, TOMATO, GINGER, GARLIC, BIRYANI MASALA, SALT, GHEE, WATER",30,40,"1. Wash and soak 1 cup basmati rice for 30 minutes. 2. In a pan, heat ghee and saute onions until golden. 3. Add chopped tomatoes, ginger, garlic paste, and biryani masala. Cook for 7 minutes.","1. Add prawns, yogurt, and water, cook for 5 minutes. Layer rice and cook for 10 more minutes. Serve hot.",https://www.cubesnjuliennes.com/wp-content/uploads/2020/12/Prawn-Biryani-Recipe.jpg,70
Hyderabadi Biryani (Veg),Indian,Rice Dish,"BASMATI RICE, ONION, TOMATO, GINGER, GARLIC, BIRYANI MASALA, SALT, GHEE, WATER",30,35,"1. Soak 1 cup basmati rice for 30 minutes. 2. Saute onions and tomatoes with biryani masala in ghee. Add chopped vegetables, yogurt, and water.",1. Layer rice and cook for 15 minutes until fully done. Serve hot with raita.,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/hyderabadi-biryani-recipe-chicken.jpg,65
Hyderabadi Biryani (Non-Veg),Indian,Rice Dish,"BASMATI RICE, CHICKEN, ONION, TOMATO, GINGER, GARLIC, BIRYANI MASALA, SALT,GHEE, WATER",35,45,"1. Soak 1 cup basmati rice for 30 minutes. 2. Saute onions, tomatoes, and biryani masala in ghee. Add chicken pieces and cook for 10 minutes.","1. Add water and rice, cook for 15 minutes until rice is cooked through. Serve hot.",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/hyderabadi-biryani-recipe-chicken.jpg,80
Lemon Rice,Indian,Rice Dish,"RICE, LEMON, GREEN CHILIES, MUSTARD SEEDS, TURMERIC, SALT, GHEE",15,20,"1. Cook 1 cup rice and set aside. 2. In a pan, heat ghee and add mustard seeds, green chilies, and turmeric. Cook for 2-3 minutes.","1. Add the rice to the pan, mix in lemon juice, and salt. Stir-fry for 2-3 minutes. Serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsDhP_3GxHU27qgD0whesQEDg-vUFBvFbXWA&s,35
Tamarind Rice,Indian,Rice Dish,"RICE, TAMARIND PASTE, MUSTARD SEEDS, GREEN CHILIES, TURMERIC, SALT, GHEE",20,25,"1. Cook 1 cup rice and set aside. 2. Heat ghee, add mustard seeds, green chilies, and turmeric. Cook for 2-3 minutes.","1. Add tamarind paste, salt, and the rice. Stir-fry for 3-4 minutes. Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2016/10/tamarind-rice-recipe-1-500x375.jpg,45
Coconut Rice,Indian,Rice Dish,"RICE, GRATED COCONUT, GREEN CHILIES, MUSTARD SEEDS, TURMERIC, SALT, GHEE",20,25,"1. Cook 1 cup rice and set aside. 2. In a pan, heat ghee, add mustard seeds, green chilies, and turmeric. Cook for 2-3 minutes.","1. Add grated coconut, salt, and the cooked rice. Stir-fry for 3-4 minutes. Serve hot.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/coconut-rice-recipe.jpg,45
Khichdi (Plain),Indian,Rice Dish,"RICE, MOONG DAL, WATER, SALT, GHEE",20,25,"1. Wash 1 cup rice and 0.5 cup moong dal. 2. In a pressure cooker, add rice, dal, 4 cups water, and salt. Cook for 3-4 whistles.",1. Serve hot with ghee or pickle.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFhMfAmJRiY6RN-rUWPBN5aGezlvfsl0OZiQ&s,45
Masala Khichdi,Indian,Rice Dish,"RICE, MOONG DAL, CARROT, PEAS, BEANS, POTATO, ONION, GINGER, CUMIN, SALT, GHEE",20,30,"1. Wash 1 cup rice and 0.5 cup moong dal. 2. In a pressure cooker, heat ghee and add cumin seeds. Add ginger and saute vegetables for 5-7 minutes.","1. Add rice, dal, 4 cups water, and salt. Cook for 3-4 whistles. Serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPpZmutBRPlj3icycbSPV4rPr_MMtq8tJboQ&s,50
Curd Rice,Indian,Rice Dish,"RICE, CURD, GINGER, GREEN CHILIES, MUSTARD SEEDS, CURRY LEAVES, SALT",20,25,"1. Cook 1 cup rice and cool slightly. 2. In a pan, heat ghee, add mustard seeds, green chilies, ginger, and curry leaves. Cook for 2 minutes.",1. Add rice to the pan and mix with curd. Serve chilled.,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/curd-rice-thayir-sadam.jpg,45
Vegetable Pulao,Indian,Rice Dish,"RICE, ONION, GINGER, GARLIC, PULAO MASALA, SALT, GHEE, WATER",25,30,"1. Wash 1 cup rice and soak for 15 minutes. 2. In a pan, heat ghee, saute onions, ginger, and garlic. Add mixed vegetables and pulao masala.","1. Add water, rice, and salt. Cook for 15
",https://www.indianhealthyrecipes.com/wp-content/uploads/2018/07/pulao-recipe.jpg,55
Peas Pulao,Indian,Rice Dish,"RICE, GREEN PEAS, ONION, GINGER, GARLIC, PULAO MASALA, SALT, GHEE, WATER",20,25,"1. Wash 1 cup rice and soak for 15 minutes. 2. In a pan, heat ghee, saute onions, ginger, and garlic. Add green peas and pulao masala. Cook for 5 minutes.","1. Add rice, water, and salt. Cook until the rice is done. Serve hot with raita or curry.",https://www.whiskaffair.com/wp-content/uploads/2021/03/Peas-Pulao-2-3.jpg,45
Kashmiri Pulao,Indian,Rice Dish,"RICE, ALMONDS, CASHEWS, RAISINS, SAFFRON, CINNAMON, CLOVES, CARDAMOM, SALT, GHEE, WATER",25,30,"1. Wash 1 cup rice and soak for 15 minutes. 2. In a pan, heat ghee, add cinnamon, cloves, cardamom, and saute for 2 minutes. Add mixed dry fruits and saffron water.","1. Add rice, water, and salt. Cook until rice is tender and dry fruits are evenly distributed. Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/kashmiri-pulao-3.jpg,55
Fried Rice (Veg),Chinese,Rice Dish,"RICE, CARROT, PEAS, BEANS, SOY SAUCE, GINGER, GARLIC, SPRING ONION, SALT, OIL",20,20,"1. Cook 1 cup rice and set aside. 2. In a wok, heat oil, saute ginger, garlic, and mixed vegetables for 5 minutes.","1. Add rice and soy sauce, stir-fry for 3-4 minutes. Garnish with spring onions and serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNPwIjsEARR3sI92Eeqao0gv_edGHlNUarfg&s,40
Fried Rice (Egg),Chinese,Rice Dish,"RICE, EGGS, SOY SAUCE, CARROT, PEAS, SALT, OIL",20,20,"1. Cook 1 cup rice and set aside. 2. In a pan, heat oil and scramble 2 eggs. Add vegetables and stir-fry for 5 minutes.","1. Add rice and soy sauce, stir-fry for 3-4 minutes. Serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNPwIjsEARR3sI92Eeqao0gv_edGHlNUarfg&s,40
Fried Rice (Chicken),Chinese,Rice Dish,"RICE, CHICKEN, SOY SAUCE, CARROT, PEAS, SALT, OIL",25,25,"1. Cook 1 cup rice and set aside. 2. In a pan, heat oil, saute chicken pieces until cooked, then add vegetables and cook for 5 minutes.","1. Add rice and soy sauce, stir-fry for 3-4 minutes. Serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNPwIjsEARR3sI92Eeqao0gv_edGHlNUarfg&s,50
Schezwan Fried Rice,Chinese,Rice Dish,"RICE, SCHEZWAN SAUCE, CARROT, PEAS, BEANS, SOY SAUCE, GINGER, GARLIC, SPRING ONION, SALT, OIL",25,30,"1. Cook 1 cup rice and set aside. 2. In a wok, heat oil, saute ginger, garlic, and vegetables for 5 minutes. Add Schezwan sauce and soy sauce.","1. Add rice, stir-fry for 3-4 minutes. Garnish with spring onions and serve hot.",https://www.sharmispassions.com/wp-content/uploads/2014/11/SchezwanFriedRice5.jpg,55
Dal Tadka,Indian,Legume Dish,"TOOR DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, WATER",20,25,"1. Wash 1 cup toor dal under running water. 2. In a pressure cooker, add dal with 3 cups of water, cook for 2-3 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds and let them splutter. 4. Add 1 finely chopped onion, saute until golden brown. 5. Add 1 tsp ginger-garlic paste and saute for 2 minutes. 6. Add 1 chopped tomato, cook for 5 minutes until soft. 7. Add 1/2 tsp turmeric, 1 tsp red chili powder, salt to taste, and cook for 2 minutes.","1. Add the cooked dal to the pan, mix well. 2. Add 1/2 cup water to adjust the consistency. 3. Simmer for 10 minutes on low heat. 4. Garnish with fresh coriander leaves and serve hot with rice or roti.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD4dKcPnFlczSSGURgI9-sPaHCHNteNbYAyA&s,45
Dal Fry,Indian,Legume Dish,"TOOR DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, WATER",20,25,"1. Cook 1 cup toor dal in a pressure cooker with 3 cups water for 2-3 whistles. 2. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds and allow them to splutter. 3. Add 1 finely chopped onion and saute till golden brown. 4. Add 1 tsp ginger-garlic paste, cook for 1 minute. 5. Add 1 chopped tomato, cook till soft and mushy. 6. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, salt to taste, and cook for 2 minutes.","1. Pour in the cooked dal, mix well, and add water as needed to reach your desired consistency. 2. Simmer for 10 minutes. 3. Garnish with fresh coriander leaves and serve with roti or rice.",https://shwetainthekitchen.com/wp-content/uploads/2021/12/Dal-Fry-Recipe.jpg,45
Dal Makhani,Indian,Legume Dish,"URAD DAL,RAJMA, ONION, TOMATO, GINGER, GARLIC, BUTTER, CREAM, SALT, TURMERIC, GARAM MASALA, WATER",30,40,"1. Soak 1 cup urad dal and 1/4 cup rajma overnight. 2. Pressure cook the dal and rajma mixture for 6-7 whistles. 3. In a pan, heat 2 tbsp ghee, add 1 tsp cumin seeds and allow to splutter. 4. Add 1 finely chopped onion and saute till golden brown. 5. Add 1 tsp ginger-garlic paste, saute for 2 minutes. 6. Add 2 chopped tomatoes, cook till soft. 7. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, salt to taste, and cook for 3-4 minutes.","1. Add the cooked dal and rajma to the pan, add 1 cup water, and simmer for 15 minutes. 2. Add 2 tbsp butter and 1/4 cup cream. Stir well, let it simmer for another 10 minutes. 3. Garnish with fresh coriander leaves. Serve with naan or rice.",https://www.cookwithmanali.com/wp-content/uploads/2019/04/Restaurant-Style-Dal-Makhani.jpg,70
Moong Dal (Yellow),Indian,Legume Dish,"YELLOW MOONG DAL, ONION, TOMATO, GINGER, GARLIC, CUMIN, GHEE, SALT, TURMERIC, WATER",15,20,"1. Wash 1 cup moong dal under running water. 2. Cook in a pressure cooker with 3 cups water for 2 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds, saute till they splutter. 4. Add 1 finely chopped onion, saute till golden. 5. Add 1 tsp ginger-garlic paste, saute for 1 minute. 6. Add 1 chopped tomato, cook for 5 minutes till soft. 7. Add 1/2 tsp turmeric, salt to taste, and cook for 2 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 5 minutes on low heat. 2. Garnish with coriander leaves. Serve with rice or roti.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/07/moong-dal-recipe.jpg,35
Chana Dal,Indian,Legume Dish,"CHANA DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, WATER",25,30,"1. Wash and soak 1 cup chana dal for 1 hour. 2. Pressure cook the dal with 3 cups water for 3 whistles. 3. In a pan, heat 2 tbsp ghee, add 1 tsp cumin seeds, let them splutter. 4. Add 1 finely chopped onion, saute till golden. 5. Add 1 tsp ginger-garlic paste, saute for 1 minute. 6. Add 1 chopped tomato, cook till soft. 7. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, salt to taste, and cook for 2 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 10 minutes. 2. Garnish with fresh coriander leaves and serve hot with rice or roti.",https://shwetainthekitchen.com/wp-content/uploads/2023/01/chana-dal-500x500.jpg,55
Masoor Dal,Indian,Legume Dish,"MASOOR DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, WATER",15,20,"1. Wash 1 cup masoor dal under running water. 2. Cook the dal in a pressure cooker with 3 cups water for 2-3 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds, saute till they splutter. 4. Add 1 finely chopped onion, saute till golden. 5. Add 1 tsp ginger-garlic paste, saute for 1 minute. 6. Add 1 chopped tomato, cook for 5 minutes till soft. 7. Add 1/2 tsp turmeric powder, salt to taste, and cook for 2 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 5-10 minutes. 2. Garnish with fresh coriander leaves and serve with rice or roti.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHAFX_GFaAPW7cF17H0cVrMPttC6XsIQh90Q&s,35
Toor Dal,Indian,Legume Dish,"TOOR DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, WATER",20,25,"1. Wash 1 cup toor dal under running water. 2. Cook the dal in a pressure cooker with 3 cups water for 3 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds, saute till they splutter. 4. Add 1 finely chopped onion, saute till golden brown. 5. Add 1 tsp ginger-garlic paste, saute for 1 minute. 6. Add 1 chopped tomato, cook for 5 minutes till soft. 7. Add 1/2 tsp turmeric, salt to taste, and cook for 2 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 10 minutes. 2. Garnish with fresh coriander leaves. Serve hot with rice or roti.",https://www.whiskaffair.com/wp-content/uploads/2020/04/North-Indian-Homestyle-Toor-Dal-2-3.jpg,45
Gujarati Dal,Indian,Legume Dish,"TOOR DAL, TAMARIND, JAGGERY, GINGER, GARLIC, GREEN CHILIES, CUMIN, MUSTARD SEEDS, GHEE, SALT, TURMERIC, WATER",30,35,"1. Wash 1 cup toor dal under running water. 2. Cook the dal in a pressure cooker with 3 cups water for 3 whistles. 3. In a pan, heat 2 tbsp ghee, add 1 tsp cumin seeds, 1/2 tsp mustard seeds, and saute till they splutter. 4. Add 1 tsp ginger-garlic paste, saute for 2 minutes. 5. Add 1 chopped tomato, cook till soft. 6. Add 1 tbsp jaggery, 1 tbsp tamarind pulp, 1/2 tsp turmeric, salt to taste, and cook for 5 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 10 minutes. 2. Garnish with fresh coriander leaves and serve hot with rice.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRvpDqSJD1AdvmX9h797PO5Lv84EZpIw0Yng&s,65
Rajma Masala,Indian,Legume Dish,"RAJMA, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, GARAM MASALA, WATER",30,40,"1. Soak 1 cup rajma overnight. 2. Cook the rajma in a pressure cooker with 3 cups water for 4-5 whistles. 3. In a pan, heat 2 tbsp ghee, add 1 tsp cumin seeds, saute till they splutter. 4. Add 1 finely chopped onion, saute till golden brown. 5. Add 1 tsp ginger-garlic paste, saute for 2 minutes. 6. Add 1 chopped tomato, cook for 5 minutes till soft. 7. Add 1/2 tsp turmeric, 1 tsp red chili powder, salt to taste, and cook for 3-4 minutes.","1. Add the cooked rajma to the pan, mix well, and simmer for 15 minutes. 2. Add 1 tsp garam masala and cook for another 5 minutes. 3. Garnish with fresh coriander leaves and serve with rice or roti.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToaeTcAuJ7MP3e2mXgI3s5EeKemMMqVtPk6g&s,70
